,x,y
272,-102.84839689581894,20.602859686118745
273,-102.94881189375636,20.603808528992978
274,-103.0124658810643,20.602623110481332
275,-103.01275848865063,20.6025900501005
277,-103.01562484994822,20.602620723841866
279,-102.8982764850809,20.604237174865872
281,-103.41673768601697,20.67618595643076
282,-103.41472881283568,20.676184808312527
283,-103.41876055577055,20.676104087464715
284,-103.35456219345474,20.66872810586191
285,-103.31353538178338,20.664032455987833
286,-103.35376552285283,20.67489623092594
287,-103.40536872552181,20.67389163651531
288,-103.42395061215137,20.665363323902596
289,-103.40608074870721,20.668703245034102
290,-103.40716112563476,20.673813121500945
291,-103.35417218463851,20.67488242638628
292,-103.40747984669278,20.67384138148194
293,-102.83459924264679,20.789762331856426
296,-103.77197507097627,20.728089416373667
297,-103.65304402156276,20.72397192087077
298,-103.73030985405069,20.72900271278429
299,-103.73034516393834,20.723277309341842
300,-103.7299926864413,20.728978575180562
301,-103.74272097663679,20.7222583860541
302,-103.74586240708554,20.728922950208382
303,-103.65923345805889,20.720721742807502
304,-102.89051641880006,20.70995356905269
305,-102.89376655958483,20.71011335637323
306,-103.74506817539799,20.728906252772397
307,-103.7460277250901,20.728883118642084
308,-103.60666825124893,20.723523259771415
309,-103.74639221074513,20.728907021197983
310,-103.74550585955306,20.728901371009847
311,-103.69120195534973,20.722144894115086
312,-103.63360351279943,20.722717398298123
313,-103.71096259880937,20.729055905915494
314,-103.44994070894417,20.661642552969695
315,-103.6049335306841,20.65955375525765
316,-103.60937345778433,20.659546034840577
317,-103.58238584501457,20.657455673156463
318,-103.44944276651624,20.66143684091997
319,-103.36403919331346,20.6646441408355
320,-103.47779255179732,20.647041562791127
321,-103.54421080775806,20.653797551509633
322,-103.46773485730148,20.659300545466362
323,-103.54367870499446,20.653794315081868
324,-103.42934545966676,20.656450988342826
325,-103.47829523224362,20.647069000104725
326,-103.47867691457513,20.647061876347518
327,-103.47886404299864,20.647080327601905
328,-103.45600990851537,20.657386993989604
329,-103.41652135275899,20.644861873892623
330,-103.47930975848321,20.647069578683993
331,-103.55584584293673,20.654964211396656
332,-103.46046564972278,20.646754316266495
333,-103.5226578418579,20.651731544396462
334,-103.53407314172608,20.65284965786701
335,-103.47867418050552,20.64704639031187
336,-103.51072027255606,20.65060838643795
337,-103.54458326260462,20.65383561117693
338,-103.34329689458752,20.634802649584152
339,-103.47868126423134,20.647004416194235
340,-103.44548499880574,20.645954132102247
341,-103.5446737043846,20.653913610894136
342,-103.51236155318503,20.650654853585195
343,-103.48891024197454,20.64733987464421
344,-103.43610754393605,20.650052407925173
345,-103.48072230933403,20.647087596003924
346,-103.49582770217707,20.649267519950257
347,-103.46925207952185,20.646776293238275
348,-103.43982597181417,20.6475213677275
349,-102.6699036583569,20.695134544894103
350,-102.66463839952729,20.695131624876876
351,-102.84664671844011,20.686083829446606
352,-102.86820468644487,20.68508667520372
353,-102.66462749431783,20.6951982609357
354,-102.66936809140284,20.681319997622232
355,-102.66478735971764,20.695226909649634
356,-102.66576524010375,20.695284577729847
357,-102.84747104042788,20.686074771064984
358,-102.66691076866738,20.695323288298813
359,-102.66790112324608,20.695304800883225
360,-102.71525474287704,20.66944382649372
361,-102.66741529771754,20.695256932489322
363,-102.92540765203972,20.682500443968312
364,-102.86787872631618,20.685067446483448
365,-102.66680465259059,20.695266732175632
366,-102.84714972511063,20.686090022052806
367,-102.71448810043736,20.669502922941493
368,-102.78571768199981,20.689042213713833
369,-102.78605703285584,20.689003864756902
370,-102.78505010298011,20.68905148002238
371,-104.13686807131917,20.717346835711048
372,-104.15748266103219,20.71943952979283
373,-104.12929427906509,20.72069438685661
374,-104.18071474957026,20.718923437088158
375,-103.12592903980722,20.70392378771518
376,-102.38879598823115,20.639023945823375
377,-102.53578991649592,20.63904675450285
378,-102.40578998626157,20.637002308507615
379,-103.97335264196317,20.745237402881212
380,-103.43556152227264,20.71003117099665
381,-103.43606260266682,20.710021832365697
382,-103.55928920166367,20.70108578409635
383,-103.43131479758009,20.752367569658965
385,-103.69179332217904,20.74018599908137
386,-103.75474344190695,20.740521032637197
387,-103.7119192746215,20.729328968207824
388,-103.71233625130617,20.72932439381551
389,-103.7117536459272,20.729324059324366
390,-103.73240092019967,20.735138844223005
391,-103.73281376471097,20.735158344152303
393,-103.71224973975127,20.729343613495477
394,-103.71299634270343,20.729358493830958
395,-103.72462924965747,20.732885467830883
396,-103.71274581804083,20.729363158626285
397,-103.69254399516666,20.74017680509523
398,-103.75543747615707,20.74047809120735
399,-103.71456350829767,20.72932086809811
400,-103.71405918119581,20.72934947161054
401,-103.71522770079933,20.72933088475164
402,-103.71522276083266,20.729359777553704
403,-103.79031095347874,20.73223493680973
404,-103.6251032593093,20.71281786186689
406,-103.62460135558733,20.712832018978286
407,-103.62460545669174,20.71280794465667
409,-103.78786439614237,20.730726210012683
410,-103.97084278159461,20.72241473806025
412,-104.10798897948206,20.73103843488904
413,-104.1586073889185,20.734338063398894
414,-103.97178943766299,20.72344109247544
415,-104.06604965654348,20.731442400740146
416,-103.84941429940167,20.732693072144556
417,-103.97582358844323,20.72611145275214
418,-104.15893696858254,20.734357518126686
