dia,week_day,mes,Horacerr,mun,calle,cruce,Colonia,tipo_acc,causa,tipo_auto,sexo,edad,marca_mal,marca_bien,submarca,modelo,ruta,cinturon,alcohol,monto,herido,Consec,conse_g,conse_m,conse_sem,Id,x,y,_merge,lat,long,,,,,
21,domingo,abril,14:01 A 16:00,zapopan,FEDERALISMO CALZ,GUADALUPE VICTORIA COL ARROYO HONDO,ARROYO HONDO,CHOQUE,SIN ELEMENTOS,MOTOCICLETA,masculino,20 A 29,YAMAHA,YAMAHA,125 CC,1990,,2,,,,,2373,2532,15281,66,671960.6263,2294385.104,matched (3),,,,,,,
24,miercoles,abril,18:01 A 20:00,zapopan,FEDERALISMO CALZ,VASCO DE QUIROGA COL ARROYO HONDO,ARROYO HONDO,CHOQUE,SIN ELEMENTOS,TRAILER,masculino,30 A 39,KENWORTH,KENWORTH,TRACTOR,1998,,1,,,,,2689,2834,15583,67,671938.1573,2294304.606,matched (3),,,,,,,
11,martes,junio,18:01 A 20:00,zapopan,FEDERALISMO CALZ,VASCO DE QUIROGA COL ARROYO HONDO,ARROYO HONDO,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,femenino,30 A 39,VW,VOLKSWAGEN,TIGUAN,2019,,2,,,,1580,1591,1653,22525,68,671940.4783,2294305.402,matched (3),,,,,,,
15,sabado,junio,14:01 A 16:00,zapopan,CARRETERA A SALTILLO,FEDERALISMO CALZ,ARROYO HONDO,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,masculino,20 A 29,SERVICIO INTEGRAL,N.D.,ESCAPE,2014,,2,,,,2194,2209,2267,23139,69,672161.7184,2294687.391,matched (3),,,,,,,
29,sabado,junio,20:01 A 22:00,zapopan,DE LAS TORRES AV COL ARROYO HONDO,JUAN ALVAREZ COL ARROYO HONDO,ARROYO HONDO,CONTRA OBJETO FIJO,SIN ELEMENTOS,AUTOMOVIL,masculino,30 A 39,NISSAN,NISSAN,TSURU,2018,,,,,herido,,,272,25011,70,671714.915,2294408.26,matched (3),,,,,,,
18,jueves,abril,14:01 A 16:00,zapopan,FEDERALISMO CALZ,PATRIA AV,ATEMAJAC,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,30 A 39,FORD,FORD,,1990,,2,,,,,2157,2314,15063,71,671341.2204,2291532.799,matched (3),,,,,,,
23,martes,abril,10:01 A 12:00,zapopan,ALDAMA COL ANALCO,CONSTITUCION,ATEMAJAC,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,CHEVROLET,CHEVROLET,CAVALIER,1994,,1,,,,,2556,2703,15452,72,671165.7176,2292069.82,matched (3),,,,,,,
2,domingo,junio,10:01 A 12:00,zapopan,EXPERIENCIA,RAMON CORONA COL ATEMAJAC,ATEMAJAC,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,femenino,30 A 39,GM,GENERAL MOTORS,SILVERADO,2015,,2,,,,167,164,236,21118,73,671775.7711,2291941.711,matched (3),,,,,,,
26,martes,marzo,08:01 A 10:00,zapopan,FEDERALISMO CALZ,PATRIA AV,ATEMAJAC DEL VALLE,ATROPELLAMIENTO,SIN ELEMENTOS,TRANSPORTE PUBLICO,masculino,50 A 59,MB,MERCEDES-BENZ,MIDIBUS,N.D.,641,,,,,,90,53,8542,74,671352.8822,2291531.374,matched (3),,,,,,,
3,lunes,junio,16:01 A 18:00,zapopan,FEDERALISMO CALZ,PATRIA AV,ATEMAJAC DEL VALLE,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,masculino,30 A 39,DODGE,DODGE,BLAZER UTLILITY,2007,,2,,,,251,251,323,21201,75,671352.8979,2291529.83,matched (3),,,,,,,
17,lunes,junio,04:01 A 06:00,zapopan,FEDERALISMO CALZ,REFORMA ATEMAJAC,ATEMAJAC DEL VALLE,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,NISSAN,NISSAN,TSURU,1993,,2,,,,2365,2381,2437,23309,76,671441.1238,2291864.201,matched (3),,,,,,,
5,viernes,abril,14:01 A 16:00,zapopan,FEDERALISMO CALZ,EMILIANO ZAPATA ATEMAJAC,ATEMJAC DELVALLE,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,masculino,20 A 29,CHEVROLET,CHEVROLET,VANETT,1984,,1,,,,,715,896,13645,77,671452.7612,2291941.511,matched (3),,,,,,,
